nIndex,Title,Category,State,Love,Series,SeriesN,Warrant,Link,Introduction,aIndex,pIndex
696,妾心盛寵：王爺不如謀個反,愛情,完結,2,0,0,,https://mojoin.com/novels/2751,"盛綰梔上輩子將那些噁心的嘴臉一個個算計進了閻王殿，然後一把火燒了半邊天，順便了結了自己。
只是再次睜眼，卻發現一切都變了。

盛綰梔以為自己能安心當條鹹魚，奈何蒼天不允。

老父親要她盯著點兒，夫君要她幫著點兒，王妃勸她善良點兒，太子要她聰明點兒。
鹹魚，可真不是她能當的。

生活不易，全靠飚戲。
不能飚戲，還是得算計。",374,4
697,我親愛的傅先生,愛情,完結,5,0,0,,https://mojoin.com/novels/2750,"佟年為了嫁給傅景墨付出了一切，執著了四年後才發現，她除了腦癌已經一無所謂。
她想明白了要跟傅景墨離婚，男人就是不允。
知道了一切真相的傅景墨，「佟年我只愛你。」
佟年，「傅總，你只是替身。」",540,4
698,我家夫人種田拯救我,愛情,完結,0,0,0,,https://mojoin.com/novels/2708,"一場爆炸引起的事故，功德石讓竹笙穿越了，但她還被告知自己的肉體回到了命懸一線的八歲。
無奈只好寄在養父家，一邊報答養父的恩情，一邊償還功功德石與功德塔里那位惡人的救命之情。

自此她上鬥極品親戚，下就種田養家，順便再來個拯救蒼生賺好功德。
誰知，自己做的事情都是在給自己未來夫君抵消「債務」！

「欸，欸，夫人，說好的功德呢？說好的把我從功德塔放出來呢？」

「你自己造的孽，還要我來還？勞資不幹了！」說罷，竹笙便帶著弟弟和父親過上好生活去了。

完了，夫人生氣了，怎麼樣才能哄哄夫人救救我。
在線等，挺急的……",274,4
699,快遞寶寶：總裁大人請簽收,愛情,完結,5,0,0,,https://mojoin.com/novels/2707,"墨逸塵，看著不遠處那個消失多年的女人，身邊有兩個他小時候的翻版，怒氣沖衝的問道：「女人，你是不是該給我一個合理的解釋？」
「長腿歐巴，你介意半路多個寶貝嗎？娶一送二，大寶小寶可以一塊打包的哦！你很划算喲！」顧貝貝勾著墨大總裁的長腿，眨巴著眼睛問道。
「容我想想……」
「別想了！過了這村，就沒了這店！咱們媽咪，可是很搶手的！」顧寶寶插一句。

「寶寶，我娶你們媽咪！現在就可以！」某對顧溪溪虎視眈眈已久的某男，衝出來自我推薦！
「哪來的蒼蠅！自不量力和爺搶女人？」墨逸塵臉一沉，寒氣瀰漫，「爺撕了你！」

「你真是霸道耶！不娶咱們媽咪，還不允許別人娶了？」兩寶搖頭，扶額說道。",407,4
700,快穿系統：上劇情吧！,愛情,完結,0,0,0,,https://mojoin.com/novels/2638,"葉醒心心願一，終日沈溺於網文圈！
葉醒心期待二，日夜與編輯白夜廝混！
葉醒心願望三，網文圈她老大，買房買車養竹馬！
當葉醒心發現自己快穿了之後，劇情跌宕起伏的將她帶入角色，她才發現成神之路慢慢其修遠。
還好大神系統是她的竹馬編輯，那麼大神系統，上劇情吧！",453,4
701,快穿之宿主又在撩男配,愛情,完結,0,0,0,,https://mojoin.com/novels/2637,"一朝重生，頻繁穿越。
為了往後的生活能過得平順滋潤些，程程時常被土里土氣的番薯號系統帶往不同世界完成女主的遺願。
神奇的是，這些世界的男主都渣得如出一轍，男配都帥得秀色可餐。
穿越的日子太無聊，面對如此美男她實在忍不住啊忍不住。
直到某日她發現男配的來歷透著詭異，連繫統都甩不掉。
程程內心種了一片草餵了千萬匹馬。
「這位大爺，你為何總跟著我？」
某男配冷漠臉：「等你來撩。」",303,4
702,君見桃花色,愛情,完結,0,0,0,,https://mojoin.com/novels/2636,"她是一隻修煉千年的桃花小仙，因為不小心搞亂了月老兒的姻緣線，被罰下凡糾正姻緣。
也許是她點兒不正，也許是他太倒霉。
竟然就這樣鑄造了一個桃花小仙和鬼仙白無常的愛情故事。
桃九抓狂：「靠，為什麼又是你！？」
白無常也抓狂：「還能不能好好的厲劫了！你竟然又來破壞我的姻緣！？」
他三世厲劫，偏偏三世的本命姻緣全被她搞亂！
罷了，小九兒，既然都被你玩兒壞了，那就讓你賠給我一個三生三世吧。
桃九眼冒桃花：好，我願意......
————
這是一對歡喜冤家的愛情故事。
也是一個奇葩小仙不斷拆人姻緣，亂牽紅線，越搞越忙越搞越亂的血淚史。
（本文屬性輕鬆惡搞，偶爾小虐怡情，結局大歡喜HE）",458,4
703,妖孽夫君好難纏,愛情,完結,6,0,0,,https://mojoin.com/novels/2635,"「師傅，修仙為了什麼？」
恐怕師傅你都已經忘了當初為何要修仙吧
「那師傅你可知道我為什麼要修仙？」
你知道對不對，你一直都知道。
一段被錯改的記憶，當她與他在紅塵中再次相遇，那糾葛千年的愛戀能否再續前緣。
楊慎穩穩地靠坐在美人榻上，「我擔心你害怕。」
「我不害怕。」
「我擔心山里的野獸誤闖進來驚嚇到你可就不好了。」楊慎說著，慢慢挪向月玲瓏。
「野獸近不了我的身。」看著楊慎慢慢挪過來，月玲瓏淡淡的說道。
「那要是驚嚇到我可怎麼辦？」寶寶求保護。",179,4
704,不正常的戀愛關係(04)我想談一場正常的戀愛啊！(END),愛情,完結,10,10,4,,https://mojoin.com/novels/2463,"一場正常的戀愛──對秋本光來說，是這輩子最大的奢望！
本來以為是已分手的前女友，為什麼轉眼之間，就變成了一隻狗？
還是擁有獸耳跟尾巴，還有胸部屁股的類犬女友啊？
兩個人被敵人追著四處跑，只能四處露宿荒郊野外，
進行野外play，這樣的生活太刺激，秋本光表示承受不住了……

「早安！今天有睡飽嗎？」
少女的臉洋溢著喜悅，精神滿分、很有活力。
屁股後的尾巴高高揚起，不斷搖晃，啪啪啪的左右拍打。
身上只穿了一件純白色的長背心，內褲什麼的大概已經被她脫掉了……
秋本光深深的、深深的閉上了眼睛。",371,5
705,不正常的戀愛關係(03)壞掉的是自己還是世界？,愛情,完結,0,10,3,,https://mojoin.com/novels/2462,"──壞掉的是自己還是世界？

不斷遭受失戀打擊的秋本光，終於放棄一切，
把身體完全交給躲藏在內心的少年。
但傻呼呼的佐緒里第一次面對自己的心意，
卻不知道心上人已經悄悄換人……

神明與少年的契約，即將毀於一旦！

「不。」秋本岸打斷了她的話。「我不想跟妳當朋友。一點都不想。」
「……啊？」佐緒里露出快要哭泣的表情。
「我不能做妳的朋友。我想做妳的男朋友。」",371,5
