書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
法老的女兒,書癮少女「灼鴦」,愛情,完結,10,原創星球,虐心,歷史,甜寵,戀愛,,https://mojoin.com/novels/519,"戲精白甜小公主 X 城府深沉帥法老，古埃及王室兄妹相愛相殺的羅曼史。
改編自埃及第十八王朝哈特謝普蘇特＆圖特摩斯三世時期。

── ❈ ❖ ❈ ❖ ❈ ──
◉封面來源：灼鴦自繪，角色為奈芙汝瑞
◉雷點提醒：骨科慎入
◉自訂標籤：#正劇 #兄妹鬩牆 #貴圈真亂 #甜甜的玻璃渣
◉角色屬性：
◎圖特摩斯 #埃及法老 #腹黑 #沉穩 #溫柔 #妹控 #佔有慾
◎奈芙汝瑞 #埃及公主 #作精 #甜美 #奶萌 #兄控 #小惡魔
◉搭配歌曲：Jasmine Thompson — Adore
── ❈ ❖ ❈ ❖ ❈ ──

她們肩負太陽神阿蒙拉賦予的責任，誓死守護埃及。
她們的血液中蘊藏著野心，不甘雌伏，不願做男人的陪襯。
她們擅長等待，像母獅在暗處埋伏，直到獵物露出破綻。
她們是──法老的女兒。"
逆天神妃：魔尊大人撩一下,醉櫻落,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/813,"她，崑崙天選神女；
他，洪荒初生魔仔。
她是他的剋星，也是他的救贖。
一朝重生，她成了人族的痴傻廢物，卻強勢崛起，虐盡所有欺她之人。
他隱身人族渡劫，卻被個傻女吃乾抹淨了，最可氣的是這傻子還給他始亂終棄。
某魔仔咬牙：竟敢給他始亂終棄，看他追到天涯海角，也要她負責到底。
其實就是絕色小姐姐VS俊俏小奶狗的故事。"
祕戀,尾巴Misa,愛情,完結,0,獨家原創,BG,黑暗,,,,https://mojoin.com/novels/524,"沒有人知道，我和當紅明星路邑成在一起，
我們說好了不公開這段戀情。

我明白路邑成愛我，也擔心平凡的我和他交往會招來嫉妒，
所以我願意讓彼此的關係成為祕密。

可是因為這樣，路邑成經常會被其他女生糾纏，
包括那個從高中開始就幻想自己和他在交往的女人……"
流浪愛情,月亮熊,愛情,完結,117,獨家原創,BG,溫馨,療癒,,,https://mojoin.com/novels/1036,"從參加各種社團、打工到去各地旅行，芝籬總是如候鳥般四處遷徙流浪。
他曾以為自己能成為她願意棲息的窗沿，但牽起手後，她卻像被握緊線的風箏一樣，無所畏懼地飛得越來越遠。
留他孑然駐足在原地，追不上、又放不了手——
我們就像長毛象一樣，因為被冰封而無法靠近彼此，所以不管妳在地球上的哪裡都沒有區別……
我們都被停在這一刻了。"
巫蠱王妃，傾天下,橘子可妃,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1068,"如果有一天你穿越成了和親公主，還是被個毒死的和親公主，你會做什麼？
姬傾城不知道別人做了什麼，反正她是先虐了渣，再吃飽喝足再說。
因為，這位和親公主是位懦弱得連飯都吃不飽的人。
姬傾城穿越來，沒別的願望，就想著離開戰王府。

墨祁一臉傲嬌：「王妃，本王准許你離開了嗎？」
姬傾城一個眼刀子射過去：「本宮離開，需要你批准？」
墨祁立馬焉了，狗腿道：「不用不用，王妃去哪兒，本王去哪兒。」"
時光恰似你，一別再不見,嘎吱兒,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1045,"展盞的夢想要實現了，像是天上掉餡餅那麼神奇。
展盞：「就算我失敗了，也不會讓我狼狽的退出。」
陸朗勾起一抹笑容，揉了揉展盞的頭髮，「一定。」
看著那個瘦小的背影，陸朗默念，「只要你願意，你永遠不會退出。」
展盞：「程舟揚，你留我一下，我就不走。」"
星辰不及你耀眼,蚊小七,愛情,完結,2,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1027,"前世，她血崩於病床上含恨而終。
今世，她必要那渣男賤女付出代價？
不過，這人幹什麼一直纏著她？
娛樂圈裡浮浮沉沉，拼的不過就是一個演技。
她和她不過就是一場交易，有必要在這裡裝什麼情深不熟嗎？
「哦？是嗎？」
某人看著她面目表情。
「昨天你在床上可不是這樣說的。」
某女：「……」
某cp粉：「啊啊啊啊啊！白蘿蔔又發糖啦！這碗狗糧我不吃！」"
清宮，九玉,若水亭,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1020,"穿越清朝的白家商女一夜間身份大變，成了董鄂府的遺孤，
從踏入深宮的這一刻起，她便掌握了所有人的命運，
為了心愛人，深陷泥潭，改變歷史，勇鬥后宮，相愛相守不止三百年。
深宮愛戀九皇子、暗中利用八王爺、虐愛情癡雍正帝、少年將軍十四爺、錯付真心鐵帽王、勿忘哥哥、阿莫守護、總有一款是屬於你的……
「阿九，我已經愛你三百年了！」
「阿玉，生生世世莫相忘！」"
綰髮似君心,臧語瞳,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1019,"林婉君跟白芷涵同時生孩子。
歷經萬難，林婉君才把孩子產了下來，還未看到孩子一眼，她就昏迷過去。
產婆跑去二爺面前報喜，告訴二爺，林婉君根本就沒有懷孕，只是拿一隻布娃娃在作假。
慕少祁當場黑臉，一氣之下，衝進林婉君的房間，厲言辱罵她。
林婉君身體虛弱，昏睡了小半個月，才又死裡逃生的醒過來。
醒來後，她便開始在府裡找她的孩子……
終於，她發現白芷涵的那個孩子，根本不是她親生的，而是把她的孩子偷了過去。
林婉君本想著要把孩子要回來。可惜根本沒有人相信她，白芷涵又趁著演了一場……"
吾向有才，子馭好逑,狐七戒,愛情,完結,11,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1018,"過勞死便過勞死吧，還穿越了； 穿越便穿越吧，還背了一身的爛桃花； 爛桃花便爛桃花吧，還都是同性。

啊！向子珏感受到了深深的惡意。
三觀易變，取向難移，歡喜姻緣，啼笑皆非。
建劇院，開電廠，通水利，成商王。
向子珏同志背負著二十一世紀的精尖科技體會了一把青史留名的快感。

「這古代就是我小向的天下啊！」向子珏沾沾自喜。
「娘子，你說錯了，是我們的。」遲馭糾正道。
「夫君長得美，說什麼都對。」

這是一個歡快明亮的故事，男女雙潔，喜歡的入坑吶。"
愛如初見,糖小卡,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1013,"在和博弈宸的愛情中，沈天藍一直卑微的存在著，直到他將她至於小三的位置——
「博弈宸，我們分了吧。」
「在我玩兒夠你之前，你休想。除非，你死！」
而當她真的死了，他卻從此生活在錐心刺肺中，痛不欲生也無能為力。"
萌寶仵作妃,洛夕,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/987,"她是穿越到異世的現代小法醫，身嬌體弱，還有個免費的兒子。
他是被世人崇拜的戰神王爺，卻在月圓之夜被人設計失了清白。
她只想平凡的活在異世，誰料總是有隻無形的大手，將她推進一樁樁離奇的命案之中。
他勢要抓出那個毀他清白之人，卻沒想到被那個不同於一般女子的大膽狂徒所吸引。
她與他之間的追逐是命運早就安排好的緣分，還是一場精心佈局？"
餘生，寵你入骨,白奶包,愛情,完結,7,吾里文化,BG愛情,,,,,https://mojoin.com/novels/978,"結婚一年，他為了心愛的女人謀奪父親家產，奪走她的眼角膜，讓她成為別人的玩物。
時隔多年，成為天之驕子的他再次出現在她面前，對她百般糾纏。
不是為愛，不是為情。
從妻子淪為情婦，他百般羞辱她，她的痛苦滿足了他變態的佔有慾。
「需要我伺候你嗎？」"
冷王爺的金牌小廚娘,雨沫,愛情,完結,460,吾里文化,BG愛情,,,,,https://mojoin.com/novels/975,"一場意外，她帶到了一個歷史架空的朝代，夜朝。
從此她頂著天齊國公主、夜朝逸王妃楚千尋的名號艱難的生存著。
她用自己前世所學征服了一眾身份顯貴之人，卻唯獨征服不了她名義上的丈夫——冷王爺夜君逸！
表面上她深得夜朝皇帝、太后和眾多貴夫人的青睞，是風光無限的逸王妃。
她開酒樓、建醫館、搞養殖，一夕之間成為夜朝的暴發戶。
戰爭爆發時，她懷著身孕不顧生命危險全力趕赴邊疆戰場，為的就是在他有需要時幫他，最後戰爭勝利了。
他卻突然轉過身冷著臉說：「一身的銅臭味兒怎麼能做好本王的王妃，不如你主動讓去正妃之位給芳華，本王還能保你富貴一生……」"
君心獨寵，皇妃不聽話,易輕塵,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/966,"寧素言本是掐花小能手，卻因為墜穿越，成了大燕王朝軍侯寧家的廢柴嫡女。
剛醒來就看見房樑上有個男人！採花賊？還好沒得手！
姨娘惡妹妹還敢再她面前作威作福，她可不是吃素的，讓她受的都得報復回去！
一道聖旨下來，莫名其妙進了宮。
被拎到皇帝跟前，皇帝是採花賊？她驚的下巴都要掉了……
總有美男找上她，皇上您生哪門子的氣？"
林中深處終有意,阮無虞,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/965,"喬沈然給了林意極致的寵愛，護她周全。
可原本屬於喬沈然的那個人出現，不僅在喬沈然面前裝可憐，還將林意往絕路逼。
喬沈然親自殺了和林意的孩子，放開了林意那雙懇求他的手。
林意死了。
再見，林意不再是林意，她叫他「喬總」。
xxxxx
「喬沈然，你有什麼資格再讓我為你履行那三個條件？」
「喬沈然，我要做的就是毀了你。讓你也嚐嚐，你給我的那些痛。」"
腹黑王爺的萌寵小王妃,竹子空心,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/954,"「你是穿越的？」
「……」
「你是重生的？」
「……」
我靠，難道是穿越加重生的？
可是對這莫須有的國家的地理文化知識未免懂得太多了吧，這讓她一個堂堂二十一世紀的穿越者的重生者情何以堪？
不過柳云溪轉念一想，這人已經是自己的夫君了，有個這麼強大加穩固的靠山，她以後在這雪域國橫著走也沒人敢吭一聲了。
「不過，橫著走的不是螃蟹嗎？」某人臉不紅心不跳的說道。"
流光之境,阿素.,愛情,完結,131,吾里文化,BG愛情,,,,,https://mojoin.com/novels/951,"因被錯勾魂魄而死的楚蓮，在忘川枯坐了十六年終於等到一個借屍還魂的機會。
她茫然踏向一個聞所未聞的世界，原本只想安安靜靜地混吃等死，然後就能飲到一碗孟婆湯忘卻前塵重新開始，怎奈這裡弱肉強食，如果不反抗，等待她的就是無止盡的災難。
是尋個死解脫自己呢？還是苦逼的捱著？
楚蓮很糾結！
然而有個人對她說：從現在開始好好活，不也是一種重新開始嗎……"
美人不修緣,銀簽,愛情,完結,0,吾里文化,BG愛情,穿越,,,,https://mojoin.com/novels/950,"她一個考古界的學生，因為一個項鍊上的黑珍珠便穿越了。
穿誰不行！一覺醒來她居然上了那個女屍幼年的身體，不知道這是什麼朝代，也不知道這個人的身份，可偏偏這個人還長了一張禍水的臉。
剛來就見死屍，上街就被調戲，被賣還差點被劫色……莫名其妙還殺了人……終於遇到帥哥，可她自己家裡還有一堆對帥哥虎視耽耽的母老虎。
遠離是非，真愛生命……就在她下定決心過好自己的小日子時。

帥哥畫風突變，夜黑風高，倪卉哆嗦著：「這位帥哥，你你你……你進錯房門……」"
若深情不能對等,雲夕雅兮,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/944,"半年前，莊紀柔輕信自己的學妹沈之琪帶自己發財，進入了一個玩彩票的圈子，卻沒想到遇見了……都說女人現實，其實男人才是最現實的。

莊紀柔這輩子犯過最大的過錯就是遇見了……司梁。"
王妃嫁到，腹黑王爺請接招,熊雯雯,愛情,完結,0,吾里文化,BG愛情,穿越,,,,https://mojoin.com/novels/941,"一場陰謀，被譽為奪魂的國際特工魂穿異世。

一紙賜婚，將軍之女和冷血王爺連在一起
下嫁當天就被關進地牢，從此開始暗無天日的人生直到被打死，才得以解脫

而當現代的特工穿到那個苦命的王妃身體時，一招催眠術就順利離開了地牢。
王妃苦命？
她扶額，往後一撇，追的人太多，不知道應該選誰？"
餘城涼,蘇杧,愛情,完結,4,吾里文化,BG愛情,,,,,https://mojoin.com/novels/927,"天帝四子青瀝君初遇妖族餘涼，本來只是她妖族的身份勾起了他的興趣，
卻不想，接觸下來漸漸情根深種。
千帆過境，他洞悉萬物，竟發現他們的緣分在兩千多年前前嗤妖台上那縱身一躍，便已種下！
而她接近他，亦懷著本不單純的目的。
人心複雜，傷痕無數，長境川里，承醫仙人看著青瀝君躺在木甲裡，只道「青瀝君，這一切只是個夢，你一定要醒過來。」
青瀝君眉頭緊蹙，腦海裡盡是那個熱烈卻又冷漠到徹骨的女子。
只想抓住她紛飛的裙袂……"
鳳殤情：君本無心,鄭十七,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/867,"五年前他滅她滿門，將她囚禁，只為心愛的人報仇。
她不恨。
五年後他用她的鳳凰血讓心愛的人死而復生。
她亦不怨。
但是看著那兩人終於歡喜的在一起。
她的心被撕扯的鮮血淋淋。
「你究竟有沒有喜歡過我？」她滿心希冀的問道。
「你做夢。」回以她的不過冷言冷語。
可是為何他還要讓她感覺他心裡是喜歡她……"
亂世妖姬,隔壁張大媽,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/850,"稚嫩的皮囊之下，住著一個歷經千百年的老靈魂，她只想這一世平平淡淡善始善終，奈何能遂了願的從不叫命運。
他將她從鬼門關拉回，她見他第一眼只覺得，此小伙秀色可餐奈何自己太嫩消受不起，彼時他十八，她四歲。
他收她當徒弟，教她學醫又教她煉毒，她磕頭敬茶，發誓不將他給皇帝用錯藥導致陽痿的事泄露，彼時他二十，她六歲。

轉眼十年，他被判弒君謀反，成了通緝犯，而她被一紙詔書送給主國半百的老皇帝和親。
從此，世間再沒有風流倜儻的轉世神農蕪先生，也再沒有隻管風月好不問少年愁的長寧公主。
她以為他們就此散了，結果，他搖身一變，成了她院中貼身的宮女，一臉媚笑，驚天地泣鬼神！"
神君大人：狐妖不是妖,尋花,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/843,"他是人之唾棄的半妖，她是初上任的神君，
她為他得罪了正在氣頭上的玉帝，雙雙被打下凡界，
一面之緣定兩生，人道，畜生道，他們可還會相遇？"
在最美的年紀遇見你,公子緋緋,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/840,"紀歡承認自己是遊戲小菜鳥，可菜鳥也是有尊嚴的。
有怨報怨，有仇報仇，召喚好友一起蹲點、埋伏、偷襲之，卻慘遭團滅。

「你戰力這麼低，我帶你吧！」那人高高在上的說道。
陰差陽錯，仇人變師徒。陸子宸在遊戲世界裡帶人裝逼帶人飛，現實生活中也不忘撩一撩新入職的實習小助理。

「對不起老闆，我有喜歡的人了！」
「可我記得你說過，你喜歡我，現在想說話不算？」
可是可是……那不一樣，再說我師父怎麼辦？紀歡內心糾結。
然而，當實力寵徒大神無缺公子等於國際著名偶像攝影師陸子宸，紀歡不淡定了——師父我宣你！偶像我宣你！陸子宸我宣你！"
我曾深情，但不候你,高阿諾,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/836,"我曾暗戀白蓮花好友的男友。然而，她令我眾叛親離。
再次見面，我已結婚，他已訂婚。
未想我婚後性冷淡，婆婆為了治療這個病，竟然讓我……"
擁有你，失去你,盡歡,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/809,"夕陽餘暉下是我小心翼翼的愛，緊閉的門後是你冷漠的表情。
我是孤獨患者，而你曖昧成癮。

「我不該用道德用婚姻綁架你，以前是我錯了，我和你道歉。你不是愛她嗎？我們離婚吧，放過我，也成全你自己。」
「謝謝你的大度。」他冷漠的說：「但離婚，你休想！」

一個為愛而崩潰，一個因愛而成長。
兩家人的結合，兩種命運的糾纏，在愛情和利益面前，到底誰對誰又錯？

她曾滿心期待：「我懷孕了。」
他卻看著她的肚子，冷淡的說：「風晚，把孩子拿掉吧。」
千帆過盡，傷痕累累，我們究竟是為什麼？"
自此錦書寄流年,不吃趣多多,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/785,"江北統帥擎益州是眾人口中不折手斷的惡魔，他不信人也不信命。
機緣巧合，他遇見了她，狠厲自此化為柔情。
一場婚姻，卻將愛情、試探與堅守捆綁在一起。
他從未想過有一天自己會如此恨她：「史錦書，你竟敢騙我！」
在利益、懷疑、痛恨面前，他與她是否還能堅守到最後？
都說一別兩寬，各生歡喜，可為何他至今都在想……
倘若那晚一槍崩了她，是否，他再也不會為她牽腸掛肚，魂牽夢繞？"
引妃入坑，狐狸皇叔第一汙,知玄機,愛情,完結,32,吾里文化,BG愛情,,,,,https://mojoin.com/novels/782,"當他穆景儔的王妃，最大的情敵不是女人而是男人！
傳言，他金屋藏男寵，還隔三差五找小倌兒。
傳言，他口污手腳賤，長的妖孽卻臭不要臉。
她穆九卿，天不怕地不怕，卻一見到他就慫了！
他是她的皇叔，她是假的郡主。
她的床就他爬過，她的唇就他吻過，就連她的心也快要被他偷走…
他坑蒙拐騙，引她入坑，卻不知日日夜夜在他枕邊的她，在暗處笑的張揚陰險。
————
傾世聘禮，他娶她為妃，十里紅妝，他迎她進府。"
愛是飲鴆止渴，不死不休,綠籬晚晚,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/761,"溫涼以最卑微的姿態愛著霍北辰，遭受著無休止的折磨，最後變成了一個病態的女人。
霍北辰不愛她，卻把她關起來當做囚鳥，不分晝夜給她無休止的折磨。
後來，溫涼終於絕望，知道自己唯一的活路就是離開他——
可是紅塵黃泉，無論走到哪裡，她都逃不過這男人的桎梏。"
學長，別跑,希黎,愛情,完結,5,吾里文化,BG愛情,,,,,https://mojoin.com/novels/747,"柯小格二十幾年的人生可以用一個詞概括，淡漠，基本上無論發生什麼事情她都可以用這種態度面對，唯獨霍言是個例外，初次見面，霸道的男人竟要她做他女朋友，再見面他強吻了她……幫她陪伴她……
漸漸的她明白淡漠應付不了他的冷漠、拒絕不了他的霸道、更抵抗不了他的灼熱， 自己不知不覺已經淪陷，早被攪個天翻地覆，可是當那女人出現，她才發現自己原來是個徹頭徹尾笑話。"
斬情,長夜,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/717,"大婚之夜，紅妝帳內。
他劍指她的眉心，字字如刀。
「御醫郎說，笡兒每月那日疼起來猶如刀剮，慕秋燕，笡兒日後每疼一次，本王就割你一刀。」"
紅豆生南國,柳十三,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/702,"納蘭安心被打入冷宮三月，三月不曾見他……一碗落子湯。
「君煜，願你此生永不後悔！」
只愛你一個，后宮佳麗只有你一人，什麼山盟海誓的話，終究，還是抵不過……"
穿越農女俏辣妃,雲夕雅兮,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/659,"村里人都說，許清月性情暴躁，卻沒想到一夜之間換了個人。
前世身為特種兵，今世帶弟弟妹妹創業，辦學堂。
被退婚，沒關係，家中一貧如洗，沒事。
許清月慢慢來，只是上個山，被人輕薄，還要……自己這是做了什麼孽啊！
「娘子，願得一人心，白首不相離。」行，不相離是吧？許清月真想拿鐮刀捅死這滿嘴油舌的男人。"
掌上嬌妻，二婚寵入骨,雪珊瑚,愛情,完結,27,吾里文化,BG愛情,,,,,https://mojoin.com/novels/642,"她出軌了！一晚瘋狂，床單上大團的血漬告訴她，這是現實！

他是全東安市最不願意靠近的那類人，冷酷，無情，手段狠戾，為達目的不擇手段。

關於他有無數傳說，全是暗黑系奮鬥史。
白手起家，雙博士學位，隨手寫一個程式能黑掉一個集團，你敢讓他不痛快，他就讓你全家上下八代都不痛快。

這樣的人，會寵她嗎？

答案是：看你要不要。
方式是：日落而睡，相擁而眠，在最喧囂的黑夜裡我們只有彼此。"
許個願望叫曾經,曦昔,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/641,"當我遇見你，所有的在劫難逃，也不過是命中註定。
我最親愛的少年，我只願我們，許個願望叫曾經。"
光與影,澈漓,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/636,"光與影，相伴而生。
黎明之前，有人在嚮往光明，他們是追光者。
入夜以後，有人在追逐黑暗，他們是逐影者。
五個天才異能者，帶你領略不一樣的懸疑世界。"
他比星光更薄涼,路星,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/622,"十三歲，我遇到陸深，在眾多女孩中他看中了我，以他未婚妻的身份帶我逃離孤兒院。
二十三歲，我嫁給陸深，成為令人驚羨的陸太太，可只有我知道陸深心裡另有他人，而我於他來說，連個替身都算不上。

他指間夾著香煙，嫋嫋的煙霧模糊了他的面容，他問我：「安然，你知道當初我為什麽會選中你嗎？」
我看著他，他勾唇輕笑，笑意薄涼：「因為命中注定我要在那麽多人中一眼看到你。」
後來，他掐著我的脖子說：「安然，如果你愛我，那就為我心愛的女人去死吧……」"
快穿攻略：腹黑男神請接招,樰落,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/611,"夏茗死了，來到一個鬼地方，看著眼前發光的螢幕，不可思議地睜大眼睛，「什麼？讓我去撩男神？」
系統鬥志昂揚地回答：「是的，每位都有特定的男神，你要做的任務就是追他，追他，追他，讓他徹底愛上你，對你死心踏地。」
夏茗口水直流，雙眼瞬間冒出閃閃桃心，連連應道：「好好好，這麼好的事情當然要答應了，有男神撩還復什麼活，我要去尋找我的真愛。」她還沒有見過極品美男長啥樣呢。"
婚約,花末,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/601,他說，忘了這條婚約，從此踏踏實實做我的女人……
兔公主要逃婚,小圓滿,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/599,"葉佳人被五花大綁的扔在床塌上，她看著面前冷俊的男人，一臉驚慌。
「放心，本王還沒那麼飢渴。」冷庭禦低眸掃了眼她肥肥的腰身。
雖然嫌棄，可還是救她於水火。
再見，她渾身髒兮兮的被人丟在他面前。

「我只是肉吃的比較多，再說了我這是虛胖！」
被他說胖成球的葉佳人不服，仰頭睜著黑眸據理力爭。

「嗯，虛胖。」男人唇角微勾，隨即大手一拋將她扔入浴池。
渾身的毛髮濕漉漉的沾在一起，葉佳人把自己藏在水中不敢看他。
人家別的兔子往水裡一丟，頓時大毛球變小毛球。
而她……只是毛髮濕了，並沒有縮小的視覺。"
替身,帶刺地玫瑰,愛情,完結,4,吾里文化,BG愛情,,,,,https://mojoin.com/novels/549,"我是一個替身演員，與一般的替身有所不同，工作性質特殊，是整個片場最被人瞧不起的一類。
有人用鄙夷的眼光看待我，每個人都可以把我踩在腳底下。
每天穿梭在各大片場之間，見慣了那些光鮮靚麗的背後，那些太陽永遠無法照耀的角落。
我也不能倖免，最終我慢慢的淪陷，無法自拔……"
暴王求妃，娘子有毒,月初,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/536,"因為是罪臣之後，因為要照顧年幼的弟弟。
她只能忍辱負重，苟且偷生，還要承受他的報復，他的折磨和羞辱。

第一次，被他送給他人……
第二次，被打的傷痕累累，遍體鱗傷……
第三次，被關進地牢，奄奄一息……"
繭愛,遁逃的魚,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/495,"他喜歡更漂亮的女人，好面子，覺得另一半得與自己般配。
然而那個不般配的她，卻最讓他舒服。
他在她身邊來來去去。
來來去去，就是不愛她。
有一天，她終於累了，想要離開他給她織的繭，展翅高飛。"
愛情下了雪,愛抹茶的琴姐,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/483,"墨毅言一把揪住簡約的衣服怒喝道：「看看你自己有多髒、多噁心！」
轉眼簡約身上的衣服就被撕破扔在了地上，墨毅言憤恨地往她身上抹著沐浴露，似乎再多的沐浴露都無法洗去簡約身上的污濁。
簡約奮力掙扎著，卻仍然敵不過墨毅言的力氣。
墨毅言粗暴地將簡約全身都洗了個遍，然後將她狠狠地抵在牆上，雙手扣住了她的纖腰……
自從三年前那個晚上之後，每次墨毅言回到家都要瘋狂地清洗簡約的身子，然後狠狠地要她，似乎她的身子永遠都洗不乾淨……"
回憶太深，你太遙遠,木向晚,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/451,"六年前，一場大火，我毀容失憶，他步步為營！
原來，所謂人人羨慕的豪門生活不過是他戳人心骨的陰謀……"
願你流年不獨歡,夏顏兮雅,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/438,"初遇我從未想過日後我們會有這麼深的糾纏。
我本該按著我的人生軌跡，卻不曾想到會有你的出現。
沈言，深言。
不負青春不負你，經年流轉，多謝你還在等我。
流年似水，我不獨歡，你不獨樂。"
鳳傾城，公主後院又起火,成王千安,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/415,"她還記得那天穿的一身火紅嫁衣，鳳冠霞帔，灼灼其華，十里嫁妝，半世芳華。
轉眼間全天下的人都知道尊貴的公主大婚當日被退婚，她成了被天下人恥笑的棄婦。
雲落楓堅信緣到有時終須有，緣到無時莫強求，萬般皆是命，半點不由人，該放手就放手。
坊間傳聞，被下堂的公主殿下第一天就生是非找小倌，第二天擲千金混賭坊，第三天…頗有破罐子破摔到底的架勢。
然而某一天丫鬟火急火燎的跑來：「公主公主，聽說鄰國皇子以江山為聘，納你為妃。」
她風輕雲淡一聲：「哦。」
「公主公主，丞相大人獻上絕世珍寶，要娶你為妻。」"
吃定嫡妃，腹黑王爺謀天下,易輕塵,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/390,"她是21世紀女警，執行任務時一個不小心掉下大樓，成了大樑王朝丞相的廢柴嫡女，卻發現自己的身世沒那麼簡單。
他是大樑王朝的殘疾王爺，「碰巧」救起了落水的她，他們有共同的仇人，自此開始了復仇的合作。
休夫開店都是小意思，被人擄走也不急，他們要的是整個天下。
卻不知，他早在一開始就吃定了她……
刺客來襲的洞房夜，他們並肩作戰，直到最後她「嚶嚀」一聲，將他壓在身下。
男人忍住身體的躁動，「慕希，這可是你自己要的！」
還沒等他繼續說，嘴巴已被紅唇堵住。
第二天，慕希醒來，眼前的男人可憐兮兮地說，「希兒，吃了要負責……」"
毒醫娘子：病弱王爺請自重,柳十三,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/371,"一朝穿越，我洛關雎從現代醫師竟然淪為相府嫡女。
什麼？太子拋棄我，妹妹要搶夫！
姨娘要奪權，爹爹不管事！

還有，病弱王爺？是什麼鬼？一看就是被推到的料竟然還想霸王硬上弓！
躺好，別動，說的就是你，瞧我妙手回春讓你重獲生機。
說好的別動，怎麼就……

「娘子」"
特工狂妃：腹黑將軍，請接招,蘇晴川,愛情,完結,11,吾里文化,BG愛情,,,,,https://mojoin.com/novels/357,"一夕之間她從殺人不眨眼的王牌特工，成了蘇府的廢物嫡小姐。
剋死爹娘？
沒有關係，反正前世她是孤兒。
只是這個將軍男人，什麼意思？
居然讓她去帶兵打仗。
你沒有搞錯？她好像還沒有長纓劍高吧。
還有你家裡的小妾可真多啊，嘖嘖嘖，大帥比，你腎虛不？

他說：蘇九九，幫我贏得長安城一戰，我放你離開。
她說：贏了以後呢，你當你的皇帝，我呢，繼續做我的殺手。
他嘴角揚起一抹微笑「你離開後，我再把你抓回來，讓你做我的皇后。」"
暮色夜微涼,風煙一渡,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/313,"慕涼辰用陰謀和謊言編織的密網成功捕捉了剛剛破繭成蝶的暮雪。
經歷婚變，她自卑隱忍，步步退縮，可他堅定如初，霸道卻不失溫柔。
後來，她知道了一切，笑意淒涼，「慕涼辰，這就是你所謂的愛？！」
只是，她轉身離開的時候，慕涼辰卻真的動心了！"
