書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
迷途,羽澤,愛情,完結,2588,原創星球,前生今世,現代,網紅,靈異,,https://mojoin.com/novels/3625,"白夏因迷路誤闖古墓後，
成功捕獲一隻男阿飄─薛風至。

不需投餵！還會煮飯！
不用清潔！還會打掃！
甚至能24hr工作，還不用付薪水！
還是節能省電的涼涼來源，
這麼棒的『飄』才，當然不能放跑呀！

※KEY WORD：靈異、溫馨※"
朱湖,依澄Q,愛情,完結,30,原創星球,少年少女,浪漫奇幻,古代,,,https://mojoin.com/novels/3620,在村子的南面有座朱湖色的湖。有傳言說，在湖中央的島嶼上面，棲息著人們所敬畏的龍——
今晚的月色很美,星琛,愛情,完結,582,原創星球,青春,成長,追尋自我,,,https://mojoin.com/novels/3613,"✵


聽說人一生中總不免會和渣男談戀愛，這大概是真的。


符雅妮陷入了深深的自我懷疑，感覺自己似乎永遠也無法擁有平凡的愛情。
她總是會被陽光帥氣的男孩吸引，符雅妮認為這是體內的「向光性」使然。
她不覺得自己有光，所以總是想向光而行。
然而卻總是在抵達終點的時候，才愕然驚覺原以為能飽腹的果實，其實是毒藥。


於是這次她乾脆地躺平。心想她不站起來接戲，這樣命運就無法再派渣男來蹂躪自己了吧？
然而看著突然出現在自己生命中的那個耀眼的男人——周澧，她的決心被狠狠的動搖了。
……這是老天在考驗自己夠不夠堅定嗎？
她一邊猶豫著，身體卻很誠實的在對方有意無意的勾引中淪陷。


她瞪著身旁那個狡猾至極的男人，看不出外表清冷的人城府竟這般深，害她不知不覺就踏入他專為自己羅織的甜蜜巨網中。
「……你得負責。」
「好啊，樂意之至。」周澧一把摟過她，虔誠獻上深情的吻。


不知道吧？早在很久很久以前，妳就是我的光了。


這是符雅妮和周澧的故事。"
狐染傾城,夏翎,愛情,完結,10,原創星球,愛情,,,,,https://mojoin.com/novels/3612,"「無論我變成什麼模樣，即使我忘記了這一切，請你一定要找到我。」
「如果有一天全世界都遺忘妳，那我會拋棄所有記憶，只為了能想起妳。」
人與妖若註定無法相戀，對於世人而言，也不過是多了一個淒美的愛情故事。"
如果你聽見,蔚海,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3523,"我追逐著他，希望總有一天能打動他的心；我追著夢想，希望總有一天能夠實現。
於迷途的人生道路，即使狂風襲來、大雨降下，我仍不屈不撓，繼續向前，可我卻不知道，幸福的青鳥其實就在身旁。

「別再為我做那麼多了，別再說要表演給我看、唱歌給我聽，不要再說妳做的一切都要是為了我。」
他鬆開了手，語氣是那麼認真地，在判我出局。
「我會辜負妳。徐昭穎，我是真的不會喜歡妳。」
──好似沒有一件事情能夠實現，我的青春糟得一塌糊塗。
可是，總有一個人，會對著我笑、向我鼓舞。那個人，是不是聽見了我愛的喧嘩？"
悠然戲韶光,抒靈,愛情,完結,212,作者授權,輕鬆,甜文,網遊,,,https://mojoin.com/novels/2685,"網遊裡，除了大神，妖人和人妖也四處橫行。

身為「雲遊」這款線上遊戲妖人的其中一員
邱楓打怪下本建幫派，混得輕鬆愜意、如魚得水；
然而有天，因為一個陰錯陽差的意外，
她竟發現了同為實力榜上有名的玩家：韶光易逝的祕密。
──原來，她是個人妖。"
一騎紅塵妃子笑 卷四：長相思(END),自初,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3376,"上有青冥之長天，下有淥水之波瀾。
天長地遠魂飛苦，夢魂不到關山難。
長相思，摧心肝。
──唐．李白〈長相思〉

「沫澄，我帶妳出去，帶妳離開，好不好？」

碎玉為信，懷玉其身。三生之前許諾相守，三世終得相戀。她終於記起一切，記起種種愛恨，記起自己曾經一心愛著的是他。
可他何其傻，卻為了她的安危放棄所有。那個歷史上暢吟「人生得意須盡歡」的詩仙本該快活做酒仙瀟灑一生，卻為她墮入凡塵，再傷不起。
如果相見時就已注定要三世悲傷，是不是寧可未曾相遇？

「君兒，快走吧。」

歷史的潮流顛覆襲來，她所背負著的三世宿命，是應該要承擔還是逃避？
她背負了最多最多的，不是那些已不屬於她的過往，卻是他給她承受不起滿身悲涼，是承載了三生三世的等待和哀慟──
一切混亂始於她，或許一切動亂也該終於她而復歸原位。
若記起她是痛，那麼她願意來生從此與他們永遠擦肩，再不要相見，只餘留記憶裡相思斷腸，只是未能長安……

「沫澄……待我來生，可好？」
「若有來生……」她伸手撫上他蒼白容顏，嘴角笑意越發越痛楚起來。
「若有來生……別再遇見我。」

長安回望繡成堆，山頂千門次第開。一騎紅塵妃子笑，無人知是荔枝來。"
一騎紅塵妃子笑 卷三：清平調,自初,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3375,"一枝紅豔露凝香，雲雨巫山枉斷腸。
借問漢宮誰得似，可憐飛燕倚新妝。
名花傾國兩相歡，常得君王帶笑看。
解釋春風無限恨，沉香亭北倚欄杆。
──唐．李白《清平調》

「妳和李白必須儘快離開京城……片刻不得再留！」

京城暗潮洶湧。於歷史洪流，凡人的力量如此蒼白，再如何不安，卻終只能睜睜地看望，坐以待斃。
一語沉重驚醒夢中人，那月色下一舞霓裳，卻竟不僅僅是為驚鴻他目光。她和她生得並無二般的模樣，原來早是命中注定……
明明只是願望一世長安，可為何，這長安竟然這樣艱難痛苦？

「孫可君，天命不可違。」

渴望長安的夢卻無法上達天聽，時刻提醒她和他是相隔一千三百年洪流相遇。那個隨她而來的男人卻只留下一句相同的話，教她不該痴心妄想。
若是一開始便注定分離，那麼為何還要相知相守？
清平調響透大唐繁華，卻冷透五年痴心，再無喜樂。千年後千古傳誦的愛情不過是笑話，她卻只能身陷其中，無法自拔……

「君兒……莫怕、莫怕……我陪著妳，生生世世……」
「太白星君七情未斷，判之下凡一世，以去紅塵雜念！」

懸崖那驚痛一箭，一夢三生三世愛恨糾葛。卻原來，她早於千年前，就已經深深愛上他……"
一騎紅塵妃子笑 卷二：秋風詞,自初,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3363,"秋風清，秋月明，落葉聚還散，寒鴉棲復驚。
相思相見知何日？此時此夜難為情。
──唐‧李白〈秋風詞〉

清朗出塵的溫雅男子如同三月暖風，溫潤如玉。她卻怎麼也沒法回報他一腔真情，只能任由心裡掛念逐漸清晰。
原來，在不知不覺間，他的情如同絲線，將她的自由牢牢束縛。
她曾經想，只要能再遇見他，她一定再也不放開，一定不再和他分別。
她可以不要所有，只要他一句不顧一切的諾言──
「天地為證，日月為鑒，結髮為盟，以此為信物，一生一世，白首不離！」

賀知章一句驚歎，卻將他捲進歷史長河，京城誠如深不見底的繁華深淵……
她知道他該是史冊上光輝留名的天上謫仙，卻越來越希望他不過是一介再普通不過的凡夫俗子。
京城裡恩怨迷霧重重，久別不見的故人也一一現蹤，引導出一個個預言的夢──
「好詩、好詩！莫非為天上謫仙人也？」

寧願遠離京城，一生安然平淡，卻在見到那人後，所有念想瞬間瓦解。
為何這一切的巧合竟越來越詭譎？那人深鎖禁宮，身不由己，又是為何悲戚心痛？
她能不能不要他功成名就，只盼他能全身而退……

"
一騎紅塵妃子笑 卷一：白頭吟,自初,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3362,"淒淒復淒淒，嫁娶不須啼。願得一心人，白頭不相離。
──漢．卓文君《白頭吟》

關於穿越這檔事，基本上沒什麼人生目標的孫可君，一直只想得過且過混過無趣的大學生活，壓根兒沒想過這種千萬分之一的微渺機率。
然而伴隨著那句意義不名的話語，以及口袋裡那塊隨身攜帶的玉，她竟就這樣被帶回了一千三百年前的盛世唐朝！

「哪！玉華真君，乖乖睡去吧！」

第一眼所見是冷面純情木訥書生李太白？憂國憂民的詩聖杜甫是翩翩風流俏公子？一生失意的沉鬱詩人孟浩是妖嬈似玉花美男？
怎麼她看到的都和書上的不一樣？國文課本裡的畫像都拿來坑人的？畫裡面的李白分明是個胖子啊喂！

「我便喚妳為『沫澄』，可好？」

向來沒心沒肺，孫可君的人生愜意自在，從來嚮往無人拘管的生活，連離別也道別得爽快。可是遇見的人越多，那個人叫喚她的聲音卻越是清晰，盤旋耳際，教人越加思念，不可自拔……
倘若一生只求一人心，又到底誰才為她生死不改的一心人？"
